order_id,order_date,order_status,customer_id,store_view,payment_method,sku,product_name,category,qty_ordered,price,discount_amount,price_after_discount,row_total,shipping_amount,coupon_code,currency
ORD100000,2023-09-01,processing,CUST1409,default,paypal,SKU002,T-shirt Basic,Vêtements,4,20.18,0.0,20.18,80.72,0.0,,EUR
ORD100001,2023-09-01,complete,CUST2424,default,credit_card,SKU009,Lunettes Soleil,Accessoires,1,93.5,0.0,93.5,93.5,3.9,WELCOME15,EUR
ORD100001,2023-09-01,complete,CUST2424,default,credit_card,SKU009,Lunettes Soleil,Accessoires,1,86.42,0.0,86.42,86.42,3.9,WELCOME15,EUR
ORD100002,2023-09-01,complete,CUST9928,en_us,cash_on_delivery,SKU001,Sneaker Alpha,Chaussures,2,77.8,0.0,77.8,155.6,3.9,,EUR
ORD100003,2023-09-01,complete,CUST7924,default,paypal,SKU006,Casquette Logo,Accessoires,3,13.71,0.0,13.71,41.13,3.9,,EUR
ORD100004,2023-09-01,processing,CUST6881,default,bank_transfer,SKU009,Lunettes Soleil,Accessoires,4,86.5,0.0,86.5,346.0,0.0,,EUR
ORD100005,2023-09-01,complete,CUST2291,en_us,bank_transfer,SKU002,T-shirt Basic,Vêtements,3,19.2,0.96,18.24,54.72,0.0,,EUR
ORD100005,2023-09-01,complete,CUST2291,en_us,bank_transfer,SKU004,Sac Weekend,Accessoires,2,115.2,0.0,115.2,230.4,0.0,,EUR
ORD100005,2023-09-01,complete,CUST2291,en_us,bank_transfer,SKU002,T-shirt Basic,Vêtements,4,19.97,0.0,19.97,79.88,0.0,,EUR
ORD100006,2023-09-01,complete,CUST7227,default,bank_transfer,SKU004,Sac Weekend,Accessoires,1,119.81,0.0,119.81,119.81,3.9,,EUR
ORD100006,2023-09-01,complete,CUST7227,default,bank_transfer,SKU002,T-shirt Basic,Vêtements,3,18.75,0.0,18.75,56.25,3.9,,EUR
ORD100007,2023-09-01,complete,CUST5010,fr_be,cash_on_delivery,SKU009,Lunettes Soleil,Accessoires,1,90.67,0.0,90.67,90.67,0.0,,EUR
ORD100008,2023-09-01,complete,CUST1916,fr_be,credit_card,SKU002,T-shirt Basic,Vêtements,1,19.3,0.0,19.3,19.3,9.9,,EUR
ORD100009,2023-09-01,complete,CUST6155,fr_be,cash_on_delivery,SKU008,Chaussettes Pack,Vêtements,4,10.37,0.0,10.37,41.48,0.0,,EUR
ORD100009,2023-09-01,complete,CUST6155,fr_be,cash_on_delivery,SKU003,Jean Classic,Vêtements,1,56.84,0.0,56.84,56.84,0.0,,EUR
ORD100009,2023-09-01,complete,CUST6155,fr_be,cash_on_delivery,SKU009,Lunettes Soleil,Accessoires,4,88.28,0.0,88.28,353.12,0.0,,EUR
ORD100010,2023-09-01,closed,CUST8019,fr_be,cash_on_delivery,SKU003,Jean Classic,Vêtements,4,59.21,0.0,59.21,236.84,0.0,,EUR
ORD100010,2023-09-01,closed,CUST8019,fr_be,cash_on_delivery,SKU002,T-shirt Basic,Vêtements,4,20.29,0.0,20.29,81.16,0.0,,EUR
ORD100011,2023-09-01,processing,CUST3504,en_us,cash_on_delivery,SKU010,Chargeur USB-C,Électronique,2,28.36,0.0,28.36,56.72,0.0,FREESHIP,EUR
ORD100011,2023-09-01,processing,CUST3504,en_us,cash_on_delivery,SKU009,Lunettes Soleil,Accessoires,1,94.31,0.0,94.31,94.31,0.0,FREESHIP,EUR
ORD100012,2023-09-01,processing,CUST1188,en_us,credit_card,SKU005,Montre Solar,Électronique,2,201.18,0.0,201.18,402.36,9.9,,EUR
ORD100013,2023-09-01,complete,CUST5808,default,cash_on_delivery,SKU005,Montre Solar,Électronique,2,207.77,0.0,207.77,415.54,0.0,,EUR
ORD100014,2023-09-01,closed,CUST9317,en_us,bank_transfer,SKU004,Sac Weekend,Accessoires,4,128.25,0.0,128.25,513.0,0.0,,EUR
ORD100014,2023-09-01,closed,CUST9317,en_us,bank_transfer,SKU003,Jean Classic,Vêtements,1,59.0,0.0,59.0,59.0,0.0,,EUR
ORD100015,2023-09-01,closed,CUST9689,fr_be,bank_transfer,SKU005,Montre Solar,Électronique,2,194.42,0.0,194.42,388.84,0.0,BF2024,EUR
ORD100015,2023-09-01,closed,CUST9689,fr_be,bank_transfer,SKU004,Sac Weekend,Accessoires,4,135.82,0.0,135.82,543.28,0.0,BF2024,EUR
ORD100016,2023-09-01,processing,CUST2403,en_us,credit_card,SKU003,Jean Classic,Vêtements,1,60.87,0.0,60.87,60.87,3.9,,EUR
ORD100016,2023-09-01,processing,CUST2403,en_us,credit_card,SKU009,Lunettes Soleil,Accessoires,1,87.29,0.0,87.29,87.29,3.9,,EUR
ORD100016,2023-09-01,processing,CUST2403,en_us,credit_card,SKU009,Lunettes Soleil,Accessoires,3,91.59,0.0,91.59,274.77,3.9,,EUR
ORD100017,2023-09-01,closed,CUST4470,en_us,paypal,SKU006,Casquette Logo,Accessoires,3,15.67,0.0,15.67,47.01,5.9,,EUR
ORD100018,2023-09-02,complete,CUST2982,fr_be,credit_card,SKU010,Chargeur USB-C,Électronique,2,25.31,0.0,25.31,50.62,0.0,WELCOME15,EUR
ORD100019,2023-09-02,complete,CUST1964,fr_be,credit_card,SKU005,Montre Solar,Électronique,1,208.71,0.0,208.71,208.71,0.0,WELCOME15,EUR
ORD100020,2023-09-02,processing,CUST3167,default,cash_on_delivery,SKU007,Veste Hiver,Vêtements,4,157.79,0.0,157.79,631.16,0.0,,EUR
ORD100021,2023-09-02,complete,CUST8062,fr_be,cash_on_delivery,SKU001,Sneaker Alpha,Chaussures,3,76.31,0.0,76.31,228.93,0.0,,EUR
ORD100022,2023-09-02,complete,CUST2612,default,bank_transfer,SKU004,Sac Weekend,Accessoires,1,131.33,0.0,131.33,131.33,3.9,,EUR
ORD100022,2023-09-02,complete,CUST2612,default,bank_transfer,SKU003,Jean Classic,Vêtements,1,57.97,0.0,57.97,57.97,3.9,,EUR
ORD100022,2023-09-02,complete,CUST2612,default,bank_transfer,SKU005,Montre Solar,Électronique,1,213.88,0.0,213.88,213.88,3.9,,EUR
ORD100022,2023-09-02,complete,CUST2612,default,bank_transfer,SKU002,T-shirt Basic,Vêtements,3,20.24,0.0,20.24,60.72,3.9,,EUR
ORD100023,2023-09-02,complete,CUST2604,default,credit_card,SKU004,Sac Weekend,Accessoires,1,126.43,0.0,126.43,126.43,3.9,,EUR
ORD100023,2023-09-02,complete,CUST2604,default,credit_card,SKU008,Chaussettes Pack,Vêtements,3,9.87,0.0,9.87,29.61,3.9,,EUR
ORD100024,2023-09-02,complete,CUST1960,fr_be,credit_card,SKU008,Chaussettes Pack,Vêtements,4,9.2,0.0,9.2,36.8,0.0,,EUR
ORD100024,2023-09-02,complete,CUST1960,fr_be,credit_card,SKU009,Lunettes Soleil,Accessoires,4,93.64,0.0,93.64,374.56,0.0,,EUR
ORD100025,2023-09-02,complete,CUST4111,en_us,credit_card,SKU001,Sneaker Alpha,Chaussures,3,77.77,0.0,77.77,233.31,9.9,,EUR
ORD100026,2023-09-02,complete,CUST8811,default,paypal,SKU002,T-shirt Basic,Vêtements,1,18.41,0.0,18.41,18.41,0.0,,EUR
ORD100027,2023-09-02,processing,CUST2113,fr_be,paypal,SKU010,Chargeur USB-C,Électronique,2,23.89,0.0,23.89,47.78,0.0,WELCOME15,EUR
ORD100028,2023-09-03,processing,CUST7868,fr_be,bank_transfer,SKU006,Casquette Logo,Accessoires,4,14.62,0.0,14.62,58.48,0.0,,EUR
ORD100029,2023-09-03,complete,CUST5915,default,credit_card,SKU010,Chargeur USB-C,Électronique,2,26.61,0.0,26.61,53.22,5.9,,EUR
ORD100030,2023-09-03,complete,CUST4492,fr_be,paypal,SKU004,Sac Weekend,Accessoires,2,130.13,0.0,130.13,260.26,0.0,,EUR
ORD100031,2023-09-03,processing,CUST9900,en_us,credit_card,SKU005,Montre Solar,Électronique,2,195.1,0.0,195.1,390.2,0.0,,EUR
ORD100032,2023-09-03,complete,CUST3200,en_us,credit_card,SKU005,Montre Solar,Électronique,1,184.44,0.0,184.44,184.44,0.0,,EUR
ORD100033,2023-09-03,complete,CUST6617,en_us,bank_transfer,SKU001,Sneaker Alpha,Chaussures,1,69.29,0.0,69.29,69.29,0.0,,EUR
ORD100034,2023-09-03,complete,CUST5533,default,bank_transfer,SKU005,Montre Solar,Électronique,2,202.44,0.0,202.44,404.88,3.9,,EUR
ORD100035,2023-09-03,complete,CUST8007,default,credit_card,SKU003,Jean Classic,Vêtements,4,59.42,0.0,59.42,237.68,0.0,,EUR
ORD100036,2023-09-03,complete,CUST3426,fr_be,credit_card,SKU001,Sneaker Alpha,Chaussures,4,81.51,0.0,81.51,326.04,3.9,,EUR
ORD100036,2023-09-03,complete,CUST3426,fr_be,credit_card,SKU004,Sac Weekend,Accessoires,4,130.66,0.0,130.66,522.64,3.9,,EUR
ORD100037,2023-09-03,processing,CUST6794,en_us,cash_on_delivery,SKU004,Sac Weekend,Accessoires,3,128.52,0.0,128.52,385.56,0.0,,EUR
ORD100038,2023-09-03,closed,CUST3900,default,credit_card,SKU006,Casquette Logo,Accessoires,1,14.2,0.0,14.2,14.2,3.9,,EUR
ORD100038,2023-09-03,closed,CUST3900,default,credit_card,SKU007,Veste Hiver,Vêtements,3,141.61,0.0,141.61,424.83,3.9,,EUR
ORD100038,2023-09-03,closed,CUST3900,default,credit_card,SKU004,Sac Weekend,Accessoires,2,129.39,0.0,129.39,258.78,3.9,,EUR
ORD100039,2023-09-03,complete,CUST2771,fr_be,credit_card,SKU008,Chaussettes Pack,Vêtements,4,11.12,0.0,11.12,44.48,0.0,,EUR
ORD100039,2023-09-03,complete,CUST2771,fr_be,credit_card,SKU004,Sac Weekend,Accessoires,2,127.76,0.0,127.76,255.52,0.0,,EUR
ORD100040,2023-09-03,complete,CUST7528,fr_be,credit_card,SKU009,Lunettes Soleil,Accessoires,2,90.34,0.0,90.34,180.68,3.9,,EUR
ORD100041,2023-09-03,complete,CUST9785,default,credit_card,SKU005,Montre Solar,Électronique,1,206.63,0.0,206.63,206.63,9.9,,EUR
ORD100041,2023-09-03,complete,CUST9785,default,credit_card,SKU005,Montre Solar,Électronique,2,187.56,9.38,178.18,356.36,9.9,,EUR
ORD100041,2023-09-03,complete,CUST9785,default,credit_card,SKU010,Chargeur USB-C,Électronique,2,25.88,0.0,25.88,51.76,9.9,,EUR
ORD100041,2023-09-03,complete,CUST9785,default,credit_card,SKU006,Casquette Logo,Accessoires,1,14.32,0.0,14.32,14.32,9.9,,EUR
ORD100042,2023-09-03,complete,CUST2894,fr_be,paypal,SKU001,Sneaker Alpha,Chaussures,4,82.24,0.0,82.24,328.96,3.9,FREESHIP,EUR
ORD100042,2023-09-03,complete,CUST2894,fr_be,paypal,SKU009,Lunettes Soleil,Accessoires,4,98.75,0.0,98.75,395.0,3.9,FREESHIP,EUR
ORD100042,2023-09-03,complete,CUST2894,fr_be,paypal,SKU004,Sac Weekend,Accessoires,2,125.82,0.0,125.82,251.64,3.9,FREESHIP,EUR
ORD100042,2023-09-03,complete,CUST2894,fr_be,paypal,SKU002,T-shirt Basic,Vêtements,4,20.82,0.0,20.82,83.28,3.9,FREESHIP,EUR
ORD100043,2023-09-03,processing,CUST6143,en_us,credit_card,SKU009,Lunettes Soleil,Accessoires,3,96.59,0.0,96.59,289.77,0.0,,EUR
ORD100043,2023-09-03,processing,CUST6143,en_us,credit_card,SKU007,Veste Hiver,Vêtements,2,155.51,0.0,155.51,311.02,0.0,,EUR
ORD100043,2023-09-03,processing,CUST6143,en_us,credit_card,SKU005,Montre Solar,Électronique,2,183.57,0.0,183.57,367.14,0.0,,EUR
ORD100044,2023-09-03,processing,CUST7211,en_us,paypal,SKU007,Veste Hiver,Vêtements,1,149.51,0.0,149.51,149.51,0.0,,EUR
ORD100045,2023-09-03,complete,CUST5700,fr_be,bank_transfer,SKU004,Sac Weekend,Accessoires,1,133.0,0.0,133.0,133.0,3.9,,EUR
ORD100046,2023-09-03,processing,CUST3780,en_us,bank_transfer,SKU010,Chargeur USB-C,Électronique,1,24.7,0.0,24.7,24.7,3.9,,EUR
ORD100046,2023-09-03,processing,CUST3780,en_us,bank_transfer,SKU004,Sac Weekend,Accessoires,4,126.7,0.0,126.7,506.8,3.9,,EUR
ORD100047,2023-09-03,complete,CUST4262,default,credit_card,SKU010,Chargeur USB-C,Électronique,2,25.59,0.0,25.59,51.18,0.0,,EUR
ORD100048,2023-09-04,closed,CUST7790,en_us,paypal,SKU008,Chaussettes Pack,Vêtements,1,10.03,0.0,10.03,10.03,0.0,,EUR
ORD100049,2023-09-04,closed,CUST1090,fr_be,credit_card,SKU009,Lunettes Soleil,Accessoires,3,92.48,0.0,92.48,277.44,0.0,,EUR
ORD100050,2023-09-04,complete,CUST2988,en_us,cash_on_delivery,SKU009,Lunettes Soleil,Accessoires,3,91.75,0.0,91.75,275.25,5.9,,EUR
ORD100051,2023-09-04,processing,CUST8251,en_us,cash_on_delivery,SKU003,Jean Classic,Vêtements,4,63.55,0.0,63.55,254.2,9.9,,EUR
ORD100051,2023-09-04,processing,CUST8251,en_us,cash_on_delivery,SKU008,Chaussettes Pack,Vêtements,3,10.01,0.0,10.01,30.03,9.9,,EUR
ORD100051,2023-09-04,processing,CUST8251,en_us,cash_on_delivery,SKU004,Sac Weekend,Accessoires,4,134.47,0.0,134.47,537.88,9.9,,EUR
ORD100052,2023-09-04,complete,CUST9540,fr_be,paypal,SKU005,Montre Solar,Électronique,2,200.74,0.0,200.74,401.48,0.0,,EUR
ORD100053,2023-09-04,complete,CUST9849,default,paypal,SKU003,Jean Classic,Vêtements,1,56.26,0.0,56.26,56.26,3.9,,EUR
ORD100054,2023-09-04,complete,CUST7678,fr_be,cash_on_delivery,SKU007,Veste Hiver,Vêtements,1,141.74,0.0,141.74,141.74,0.0,FREESHIP,EUR
ORD100055,2023-09-04,canceled,CUST1320,fr_be,cash_on_delivery,SKU005,Montre Solar,Électronique,2,206.83,0.0,206.83,413.66,0.0,BF2024,EUR
ORD100056,2023-09-04,complete,CUST7865,fr_be,paypal,SKU007,Veste Hiver,Vêtements,1,152.16,0.0,152.16,152.16,3.9,,EUR
ORD100056,2023-09-04,complete,CUST7865,fr_be,paypal,SKU007,Veste Hiver,Vêtements,4,156.01,0.0,156.01,624.04,3.9,,EUR
ORD100056,2023-09-04,complete,CUST7865,fr_be,paypal,SKU007,Veste Hiver,Vêtements,3,147.17,0.0,147.17,441.51,3.9,,EUR
ORD100057,2023-09-04,pending,CUST3091,fr_be,credit_card,SKU001,Sneaker Alpha,Chaussures,2,76.89,0.0,76.89,153.78,0.0,,EUR
ORD100057,2023-09-04,pending,CUST3091,fr_be,credit_card,SKU007,Veste Hiver,Vêtements,2,148.43,0.0,148.43,296.86,0.0,,EUR
ORD100058,2023-09-04,complete,CUST1823,default,bank_transfer,SKU006,Casquette Logo,Accessoires,3,15.26,0.0,15.26,45.78,9.9,,EUR
ORD100059,2023-09-04,complete,CUST7906,fr_be,credit_card,SKU006,Casquette Logo,Accessoires,4,17.05,0.0,17.05,68.2,5.9,SUMMER10,EUR
ORD100060,2023-09-04,processing,CUST1659,default,paypal,SKU010,Chargeur USB-C,Électronique,2,25.02,0.0,25.02,50.04,5.9,,EUR
ORD100061,2023-09-04,complete,CUST2874,fr_be,paypal,SKU006,Casquette Logo,Accessoires,4,14.2,0.0,14.2,56.8,5.9,,EUR
ORD100062,2023-09-04,processing,CUST2876,fr_be,paypal,SKU005,Montre Solar,Électronique,2,203.8,0.0,203.8,407.6,3.9,SUMMER10,EUR
ORD100063,2023-09-04,complete,CUST7149,default,paypal,SKU004,Sac Weekend,Accessoires,1,128.2,0.0,128.2,128.2,9.9,,EUR
ORD100063,2023-09-04,complete,CUST7149,default,paypal,SKU005,Montre Solar,Électronique,1,206.37,0.0,206.37,206.37,9.9,,EUR
ORD100063,2023-09-04,complete,CUST7149,default,paypal,SKU010,Chargeur USB-C,Électronique,1,23.85,0.0,23.85,23.85,9.9,,EUR
ORD100064,2023-09-05,complete,CUST1672,en_us,cash_on_delivery,SKU009,Lunettes Soleil,Accessoires,2,82.26,0.0,82.26,164.52,0.0,,EUR
ORD100064,2023-09-05,complete,CUST1672,en_us,cash_on_delivery,SKU001,Sneaker Alpha,Chaussures,4,80.59,0.0,80.59,322.36,0.0,,EUR
ORD100065,2023-09-05,complete,CUST2729,en_us,bank_transfer,SKU008,Chaussettes Pack,Vêtements,2,10.09,0.0,10.09,20.18,0.0,,EUR
ORD100065,2023-09-05,complete,CUST2729,en_us,bank_transfer,SKU007,Veste Hiver,Vêtements,2,149.43,0.0,149.43,298.86,0.0,,EUR
ORD100066,2023-09-05,processing,CUST5425,fr_be,cash_on_delivery,SKU010,Chargeur USB-C,Électronique,2,23.48,0.0,23.48,46.96,0.0,,EUR
ORD100067,2023-09-05,complete,CUST2419,default,cash_on_delivery,SKU010,Chargeur USB-C,Électronique,1,23.71,0.0,23.71,23.71,3.9,,EUR
ORD100067,2023-09-05,complete,CUST2419,default,cash_on_delivery,SKU007,Veste Hiver,Vêtements,2,159.3,0.0,159.3,318.6,3.9,,EUR
ORD100068,2023-09-05,complete,CUST6325,fr_be,paypal,SKU006,Casquette Logo,Accessoires,1,15.23,0.0,15.23,15.23,5.9,,EUR
ORD100069,2023-09-05,complete,CUST5526,default,paypal,SKU007,Veste Hiver,Vêtements,3,150.92,0.0,150.92,452.76,0.0,,EUR
ORD100070,2023-09-05,processing,CUST8800,fr_be,cash_on_delivery,SKU002,T-shirt Basic,Vêtements,4,20.47,0.0,20.47,81.88,3.9,,EUR
ORD100070,2023-09-05,processing,CUST8800,fr_be,cash_on_delivery,SKU007,Veste Hiver,Vêtements,2,157.46,0.0,157.46,314.92,3.9,,EUR
ORD100071,2023-09-05,complete,CUST7046,fr_be,bank_transfer,SKU009,Lunettes Soleil,Accessoires,4,87.6,0.0,87.6,350.4,5.9,,EUR
ORD100072,2023-09-05,complete,CUST5438,default,paypal,SKU006,Casquette Logo,Accessoires,4,15.57,0.0,15.57,62.28,3.9,,EUR
ORD100072,2023-09-05,complete,CUST5438,default,paypal,SKU009,Lunettes Soleil,Accessoires,1,86.84,0.0,86.84,86.84,3.9,,EUR
ORD100073,2023-09-05,complete,CUST4138,fr_be,cash_on_delivery,SKU009,Lunettes Soleil,Accessoires,2,89.36,0.0,89.36,178.72,0.0,,EUR
ORD100074,2023-09-05,complete,CUST4180,default,bank_transfer,SKU009,Lunettes Soleil,Accessoires,4,87.16,0.0,87.16,348.64,0.0,,EUR
ORD100074,2023-09-05,complete,CUST4180,default,bank_transfer,SKU001,Sneaker Alpha,Chaussures,2,80.22,0.0,80.22,160.44,0.0,,EUR
ORD100074,2023-09-05,complete,CUST4180,default,bank_transfer,SKU009,Lunettes Soleil,Accessoires,4,86.9,0.0,86.9,347.6,0.0,,EUR
ORD100074,2023-09-05,complete,CUST4180,default,bank_transfer,SKU003,Jean Classic,Vêtements,1,63.16,0.0,63.16,63.16,0.0,,EUR
ORD100075,2023-09-05,canceled,CUST2680,fr_be,bank_transfer,SKU006,Casquette Logo,Accessoires,0,14.46,0.0,14.46,0.0,3.9,,EUR
ORD100075,2023-09-05,canceled,CUST2680,fr_be,bank_transfer,SKU008,Chaussettes Pack,Vêtements,0,10.24,0.0,10.24,0.0,3.9,,EUR
ORD100076,2023-09-06,complete,CUST1878,default,bank_transfer,SKU002,T-shirt Basic,Vêtements,4,22.03,0.0,22.03,88.12,3.9,,EUR
ORD100077,2023-09-06,processing,CUST4697,fr_be,cash_on_delivery,SKU005,Montre Solar,Électronique,2,205.31,0.0,205.31,410.62,0.0,,EUR
ORD100078,2023-09-06,complete,CUST6003,en_us,credit_card,SKU002,T-shirt Basic,Vêtements,3,20.94,0.0,20.94,62.82,3.9,,EUR
ORD100078,2023-09-06,complete,CUST6003,en_us,credit_card,SKU004,Sac Weekend,Accessoires,3,124.95,0.0,124.95,374.85,3.9,,EUR
ORD100078,2023-09-06,complete,CUST6003,en_us,credit_card,SKU005,Montre Solar,Électronique,1,191.11,0.0,191.11,191.11,3.9,,EUR
ORD100078,2023-09-06,complete,CUST6003,en_us,credit_card,SKU003,Jean Classic,Vêtements,2,59.56,0.0,59.56,119.12,3.9,,EUR
ORD100079,2023-09-06,complete,CUST3564,en_us,cash_on_delivery,SKU005,Montre Solar,Électronique,1,204.02,10.2,193.82,193.82,9.9,,EUR
ORD100080,2023-09-06,processing,CUST5632,default,cash_on_delivery,SKU005,Montre Solar,Électronique,2,207.61,0.0,207.61,415.22,0.0,,EUR
ORD100081,2023-09-06,complete,CUST4241,en_us,paypal,SKU005,Montre Solar,Électronique,2,202.16,0.0,202.16,404.32,0.0,,EUR
ORD100082,2023-09-06,processing,CUST3718,fr_be,bank_transfer,SKU005,Montre Solar,Électronique,1,182.96,0.0,182.96,182.96,0.0,,EUR
ORD100083,2023-09-06,complete,CUST9199,default,cash_on_delivery,SKU007,Veste Hiver,Vêtements,3,164.81,0.0,164.81,494.43,0.0,,EUR
ORD100083,2023-09-06,complete,CUST9199,default,cash_on_delivery,SKU010,Chargeur USB-C,Électronique,1,26.19,0.0,26.19,26.19,0.0,,EUR
ORD100083,2023-09-06,complete,CUST9199,default,cash_on_delivery,SKU002,T-shirt Basic,Vêtements,1,19.17,0.0,19.17,19.17,0.0,,EUR
ORD100084,2023-09-07,pending,CUST1339,en_us,bank_transfer,SKU008,Chaussettes Pack,Vêtements,3,9.27,0.0,9.27,27.81,0.0,WELCOME15,EUR
ORD100085,2023-09-07,complete,CUST5557,en_us,cash_on_delivery,SKU002,T-shirt Basic,Vêtements,4,20.34,0.0,20.34,81.36,0.0,,EUR
ORD100086,2023-09-07,processing,CUST6260,fr_be,paypal,SKU008,Chaussettes Pack,Vêtements,2,10.28,0.0,10.28,20.56,0.0,,EUR
ORD100087,2023-09-07,complete,CUST1601,fr_be,bank_transfer,SKU007,Veste Hiver,Vêtements,2,139.35,0.0,139.35,278.7,3.9,,EUR
ORD100087,2023-09-07,complete,CUST1601,fr_be,bank_transfer,SKU001,Sneaker Alpha,Chaussures,1,79.48,0.0,79.48,79.48,3.9,,EUR
ORD100087,2023-09-07,complete,CUST1601,fr_be,bank_transfer,SKU009,Lunettes Soleil,Accessoires,1,96.26,0.0,96.26,96.26,3.9,,EUR
ORD100088,2023-09-07,complete,CUST9494,en_us,cash_on_delivery,SKU001,Sneaker Alpha,Chaussures,4,74.19,0.0,74.19,296.76,5.9,,EUR
ORD100089,2023-09-07,complete,CUST5719,default,cash_on_delivery,SKU003,Jean Classic,Vêtements,1,60.08,0.0,60.08,60.08,0.0,WELCOME15,EUR
ORD100090,2023-09-07,complete,CUST7684,fr_be,credit_card,SKU003,Jean Classic,Vêtements,1,66.93,0.0,66.93,66.93,3.9,,EUR
ORD100091,2023-09-07,processing,CUST9337,fr_be,cash_on_delivery,SKU004,Sac Weekend,Accessoires,1,130.28,0.0,130.28,130.28,0.0,,EUR
ORD100091,2023-09-07,processing,CUST9337,fr_be,cash_on_delivery,SKU003,Jean Classic,Vêtements,4,58.1,0.0,58.1,232.4,0.0,,EUR
ORD100092,2023-09-07,processing,CUST9327,default,paypal,SKU007,Veste Hiver,Vêtements,2,149.85,0.0,149.85,299.7,3.9,,EUR
